url_baza,url_strony,n_strony,id_oferty,tytul_oferty,link_oferty,oferta_cena,oferta_waluta,oferta_miejscowosc,oferta_rocznik,oferta_przebieg,oferta_pojemnosc,oferta_paliwo
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6108597111,Audi A3,https://www.otomoto.pl/oferta/audi-a3-audi-a3-sportback-pierwszy-wlasciciel-w-polsce-ID6Fp39R.html,24500,PLN,Tczew (Pomorskie),2009,141428,1390,Benzyna
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6105438949,Audi A3 2.0 TDI DPF Ambition S tronic,https://www.otomoto.pl/oferta/audi-a3-audi-a3-s-line-2-0-tdi-170km-2006-ID6FbNzL.html,22500,PLN,Świdnik (Lubelskie),2006,307000,1968,Diesel
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6108820240,Audi A3 1.6 Attraction,https://www.otomoto.pl/oferta/audi-a3-8p-1-6-mpi-102-km-bezwypadkowy-oryg-lakier-codziennie-nizsza-cena-ID6FpZcI.html,23300,PLN,Sosnowiec (Śląskie),2008,239000,1595,Benzyna
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6101507013,Audi A3,https://www.otomoto.pl/oferta/audi-a3-sprzedam-audi-a3-s-line-quattro-ID6EWiHr.html,48000,PLN,Bytów (Pomorskie),2011,294000,1968,Diesel
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6108418434,Audi A3 1.6 Ambiente,https://www.otomoto.pl/oferta/audi-a3-lift-1-6-mpi-102km-czarna-oplacona-zadbana-ID6FoiFY.html,16999,PLN,Tczew (Pomorskie),2006,224510,1595,Benzyna
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6108815001,Audi A3,https://www.otomoto.pl/oferta/audi-a3-audi-a3-2007-1-9tdi-automat-diesel-ID6FpXQd.html,22900,PLN,Radestów (Mazowieckie),2007,327000,1896,Diesel
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6108318877,Audi A3,https://www.otomoto.pl/oferta/audi-a3-8p-lift-2-0-tdi-bardzo-bogata-wersja-ID6FnSMd.html,30900,PLN,Starogard Gdański (Pomorskie),2012,257320,1968,Diesel
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6108811907,Audi A3,https://www.otomoto.pl/oferta/audi-a3-lift-xenon-ledy-alu-felgi-webasto-ID6FpX2j.html,25999,PLN,Zielona Góra (Lubuskie),2008,192000,1968,Diesel
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6108759929,Audi A3 1.4 TFSI Attraction S tronic,https://www.otomoto.pl/oferta/audi-a3-1-4-benzyna-s-tronic-xenon-led-klima-sportback-idealny-stan-ID6FpJwX.html,35999,PLN,Stargard Szczeciński (Zachodniopomorskie),2011,190000,1390,Benzyna
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6108806287,Audi A3 1.2 TFSI Prime Line,https://www.otomoto.pl/oferta/audi-a3-audi-a3-prime-line-ID6FpWzF.html,31900,PLN,Rumia (Pomorskie),2012,168000,1197,Benzyna
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6108011408,Audi A3 2.0 TDI DPF Ambition,https://www.otomoto.pl/oferta/audi-a3-model2010r-2-0tdi-140km-bezwypadkowy-ID6FmAN2.html,28990,PLN,Chełmek (Małopolskie),2009,204000,1968,Diesel
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6103525056,Audi A3,https://www.otomoto.pl/oferta/audi-a3-8xalu-grzane-fotele-climatronic-tempomat-gwarancja-bezwypadek-aso-ID6F3LGv.html,26999,PLN,Kąty Opolskie (Opolskie),2009,236600,1896,Diesel
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6108780629,Audi A3 1.6 Ambition,https://www.otomoto.pl/oferta/audi-a3-ID6FpOTP.html,25900,PLN,Kietrz (Opolskie),2008,217500,1595,Benzyna
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6108776534,Audi A3 1.6 Attraction,https://www.otomoto.pl/oferta/audi-a3-1-6mpi-102kmklimatronicserwisaluimport-ID6FpNPM.html,13900,PLN,Ostrów Mazowiecka (Mazowieckie),2003,249000,1595,Benzyna
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6108772034,Audi A3 1.9 TDI DPF Attraction,https://www.otomoto.pl/oferta/audi-a3-piekne-tdi-ID6FpMFc.html,17900,PLN,Wieluń (Łódzkie),2007,258500,1896,Diesel
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6104976759,Audi A3 1.4 TFSI Attraction,https://www.otomoto.pl/oferta/audi-a3-1xwlasciciel-3x-kluczyk-ksiazka-serwisowa-sprowadzony-z-niemiec-ID6F9Rl5.html,23900,PLN,Świdwin (Zachodniopomorskie),2009,236525,1390,Benzyna
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=2,2,6107638508,Audi A3 1.6 TDI DPF Ambiente S tronic,https://www.otomoto.pl/oferta/audi-a3-audi-a3-automat-1-6tdi-bezawaryjny-idealny-niskie-spalanie-led-bixenon-ID6Fl1Mv.html,32500,PLN,Warszawa (Mazowieckie),2012,239000,1598,Diesel
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=2,2,6108767446,Audi A3 2.0 TDI DPF Ambition,https://www.otomoto.pl/oferta/audi-a3-audi-a3-8p-sportback-2-0-tdi-dpf-ID6FpLtc.html,24500,PLN,Bystrzyca (Dolnośląskie),2006,367022,1968,Diesel
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=2,2,6108767373,Audi A3 2.0 TDI Sportback DPF S line Sportpaket (plus),https://www.otomoto.pl/oferta/audi-a3-2-0-diesel-s-line-3x-plus-full-biksenon-led-panorama-navi-tempomat-g-f-ID6FpLs1.html,34900,PLN,Swarzędz (Wielkopolskie),2010,246000,1968,Diesel
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=2,2,6108766614,Audi A3 2.0 TDI Ambition S tronic,https://www.otomoto.pl/oferta/audi-a3-audi-a3-8p-2-0-tdi-automat-super-stan-ID6FpLfM.html,26900,PLN,Konopiska (Śląskie),2007,211000,1968,Diesel
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=2,2,6107953789,Audi A3 2.0 TDI Attraction,https://www.otomoto.pl/oferta/audi-a3-drugi-wlasciciel-w-kraju-stan-idealny-panorama-dach-ID6FmlNH.html,26800,PLN,Bytom (Śląskie),2009,315000,1968,Diesel
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=2,2,6106950917,Audi A3 2.0 TDI Sportback DPF quattro S line Sportpaket,https://www.otomoto.pl/oferta/audi-a3-a3-8p-2-0tdi-quattro-sline-lift-bixenon-led-maly-przebieg-ID6Fi8Ul.html,41800,PLN,Niepruszewo (Wielkopolskie),2009,165000,1968,Diesel
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=2,2,6108760734,Audi A3 2.0 TDI Ambiente,https://www.otomoto.pl/oferta/audi-a3-audi-a3-s-line-2tdi-ID6FpJIV.html,27900,PLN,Gubin (Lubuskie),2008,300000,1968,Diesel
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=2,2,6108460624,Audi A3 1.6 Attraction,https://www.otomoto.pl/oferta/audi-a3-1-6mpi-102km-lift-5drzwi-climatronic-gfotele-pdc-zadbana-aso-130tys-ID6FotEs.html,19500,PLN,Legnica (Dolnośląskie),2006,130000,1595,Benzyna
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=2,2,6108757059,Audi A3 1.2 TFSI Prime Line,https://www.otomoto.pl/oferta/audi-a3-audi-a3-2012-rok-sportback-prime-line-1-2-tfsi-77-105-6-biegow-ID6FpILF.html,31900,PLN,Rumia (Pomorskie),2012,168000,1197,Benzyna
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=2,2,6108756551,Audi A3 1.6 Ambition,https://www.otomoto.pl/oferta/audi-a3-1-6-mpi-8v-102km-climatronic-mocca-serwisowany-do-konca-ID6FpIDt.html,14999,PLN,Chmielnik (Świętokrzyskie),2004,242000,1595,Benzyna
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=2,2,6108755119,Audi A3 3.2 Quattro S tronic,https://www.otomoto.pl/oferta/audi-a3-bardzo-dobry-stan-wazny-przeglad-i-oc-ID6FpIgn.html,32900,PLN,Zawiercie (Śląskie),2005,296000,189,Benzyna
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=2,2,6108752010,Audi A3 1.6 TDI S line Sportpaket,https://www.otomoto.pl/oferta/audi-a3-s3-rs3-ID6FpHse.html,29900,PLN,Gorzów Wielkopolski (Lubuskie),2012,219000,1598,Diesel
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=2,2,6108751881,Audi A3 1.6 Attraction,https://www.otomoto.pl/oferta/audi-a3-1-6-mpi-102ps-klimatronik-elektryka-alu-serwis-stan-bdb-ID6FpHq9.html,19999,PLN,Elbląg (Warmińsko-mazurskie),2006,231373,1595,Benzyna
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=2,2,6106897036,Audi A3,https://www.otomoto.pl/oferta/audi-a3-benzynka-1-6-mpi-ID6FhUTi.html,12900,PLN,Brodnica (Kujawsko-pomorskie),2004,245325,1595,Benzyna
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=2,2,6108748763,Audi A3,https://www.otomoto.pl/oferta/audi-a3-8p-lift-cabrio-skora-navi-ksenon-led-ID6FpGBR.html,36000,PLN,Kielce (Świętokrzyskie),2008,171000,1968,Diesel
